(2218971,30,8),
(2113477,3,8),
(2082369,1,8),
(2775603,2,8),
(2306418,70,8),
(2772927,10,8),
(2486168,2,8),
(2060249,89,8),
(2123469,2,8),
(2126625,6,8),
(2450409,6,8),
(2220942,6,8),
(2381278,2,8),
(2597623,2,8),
(2114907,5,8),
(2076835,30,8),
(2113311,1,8),
(2064693,4,8),
(2061054,6,8),
(2443734,4,8),
(2061822,16,8),
(2118080,10,8),
(2597265,100,8),
(2125011,27,8),
(2630121,20,8),
(2312857,2,8),
(2776292,2,8),
(2219896,30,8),
(2107463,30,8),
(2271288,1,8),
(2630102,3,8),
(2124818,50,8),
(2110341,2,8),
(2776166,1,8),
(2820216,1,8),
(2060215,3,8),
(2107356,2,8),
(2060206,96,8),
(2767978,5,8),
(2798311,1,8),
(2064693,1,8),
(2125014,6,8),
(2125101,8,8),
(2060003,17,8),
(2123464,2,8),
(2630063,10,8),
(2125088,8,8),
(2235014,8,8),
(2060963,14,8),
(2114315,1,8),
(2306095,1,8),
(3070397,10,8),
(2318085,2,8),
(2125949,4,8),
(2822297,50,8),
(2630791,6,8),
(3062597,10,8),
(3006743,10,8),
(2125050,3,8),
(2485715,3,8),
(2110470,1,8),
(2820215,1,8),
(2783210,1,8),
(2115302,10,8),
(2126784,10,8),
(2060219,7,8),
(2612221,26,8),
(2092331,10,8),
(2107351,3,8),
(2777741,5,8),
(2063399,3,8),
(2060316,8,8),
(2060039,1,8),
(2127052,100,8),
(2124861,100,8),
(2772926,6,8),
(2060861,173,8),
(2776268,5,8),
(2477902,4,8),
(2118142,2,8),
(2257530,20,8),
(2124927,20,8),
(2126071,12,8),
(2132171,20,8),
(2613575,20,8),
(2380466,16,8),
(2381279,1,8),
(2132022,18,8),
(2114906,5,8),
(2077730,1,8),
(2113295,4,8),
(2782925,70,8),
(2630747,10,8),
(2961797,3,8),
(2130788,16,8),
(2812191,4,8),
(2126734,50,8),
(2118196,1,8),
(2778160,4,8),
(2438245,1,8),
(2776827,3,8),
(2776268,10,8),
(2779028,2,8),
(2092334,1,8),
(2107863,10,8),
(2092329,10,8),
(2060879,1,8),
(2107384,4,8),
(2125127,19,8),
(2822424,35,8),
(2775630,2,8),
(2060004,80,8),
(2063280,5,8),
(2812192,4,8),
(2087854,6,8),
(2114999,4,8),
(2222310,2,8),
(2115212,10,8),
(2437903,8,8),
(2060004,51,8),
(2307043,34,8),
(2380389,33,8),
(2132103,20,8),
(2777433,5,8),
(2078622,181,8),
(2975190,3,8),
(2477720,100,8),
(2125557,61,8),
(2107857,23,8),
(3254831,15,8),
(2126860,100,8),
(2118169,2,8),
(2256304,3,8),
(2669795,2,8),
(2060398,200,8),
(2063276,5,8),
(2118043,2,8),
(2826294,4,8),
(2798031,1,8),
(2126075,20,8),
(2060143,3,8),
(2746785,10,8),
(2060398,500,8),
(2063402,14,8),
(2060597,22,8),
(2061915,2,8),
(2064962,1,8),
(2060120,50,8),
(2060315,107,8),
(2443688,4,8),
(2060857,309,8),
(2126733,50,8),
(2127567,2,8),
(2060707,2,8),
(2113793,1,8),
(2443467,4,8),
(2108215,2,8),
(2597267,100,8),
(2630160,2,8),
(2781208,19,8),
(2126855,100,8),
(2127466,5,8),
(2127466,5,8),
(2635805,10,8),
(2578397,8,8),
(3061184,10,8),
(2114230,1,8),
(2635750,10,8),
(2060120,40,8),
(2129515,7,8),
(2312576,3,8),
(2804385,2,8),
(2107272,2,8),
(2797397,2,8),
(2110425,2,8),
(2776825,3,8),
(2064575,2,8),
(2064685,50,8),
(2061936,16,8),
(2612265,4,8),
(2578329,10,8),
(2107481,1,8),
(2129489,30,8),
(2900743,5,8),
(2968002,2,8),
(2306358,49,8),
(2060144,10,8),
(3100946,680,8),
(2612018,8,8),
(2443490,2,8),
(2127938,5,8),
(2678456,5,8),
(2127908,3,8),
(2060415,8,8),
(2380427,6,8),
(2746777,5,8),
(3007983,16,8),
(2118166,10,8),
(2767516,85,8),
(2126112,6,8),
(2822465,50,8),
(2630841,35,8),
(2127335,20,8),
(2327017,2,8),
(2125192,2,8),
(2125195,50,8),
(2222379,100,8),
(2829510,2,8),
(2822463,50,8),
(2126787,10,8),
(2826636,4,8),
(2123447,2,8),
(2599926,100,8),
(2063367,10,8),
(2110471,2,8),
(2115300,10,8),
(2778406,15,8),
(2828844,2,8),
(2827400,2,8),
(2783887,2,8),
(2136405,5,8),
(2077927,4,8),
(2449779,1,8),
(2129507,30,8),
(2113570,1200,8),
(2060119,26,8),
(2264386,2,8),
(2612013,8000,8),
(2826984,2,8),
(2114227,1,8),
(2776027,3,8),
(2062195,1,8),
(2064949,1,8),
(2077188,5,8),
(2134046,2,8),
(2060209,29,8),
(2118044,2,8),
(2125055,10,8),
(2132093,25,8),
(2118183,5,8),
(2967433,3,8),
(2612517,1,8),
(2110434,2,8),
(2115211,10,8),
(2773260,4,8),
(2126800,10,8),
(2771961,72,8),
(2060110,90,8),
(2061914,2,8),
(2776027,10,8),
(2062712,40,8),
